workerid,block_number,predicate,crit_noun,noun,class,other_noun,wrongs,nounclass,speaker_order,qud,response_other,response,block,slide_number
40,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""male/female""","""are""",0.27,0.86,"""cover_stories""",5
40,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",1,"""political_party""","""female/male""","""who""",0.17,0.91,"""cover_stories""",6
40,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.14,"""priors""",8
40,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.66,"""priors""",9
40,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.81,"""priors""",10
40,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.17,"""priors""",11
40,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.66,"""priors""",12
40,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.84,"""priors""",13
40,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.61,"""priors""",14
40,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.56,"""priors""",15
41,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""male/female""","""who""",0.33,0.97,"""cover_stories""",3
41,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",1,"""nationality""","""male/female""","""are""",0.36,0.98,"""cover_stories""",4
41,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""male/female""","""are""",0.3,0.96,"""cover_stories""",5
41,"""1""","""rational""","""women""",NA,NA,"""men""",1,"""gender""","""female/male""","""who""",0.28,0.9,"""cover_stories""",6
41,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.33,"""priors""",8
41,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.31,"""priors""",9
41,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.69,"""priors""",10
41,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.54,"""priors""",11
41,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.82,"""priors""",12
41,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.38,"""priors""",13
41,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.51,"""priors""",14
41,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.22,"""priors""",15
42,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""male/female""","""are""",0.79,0.81,"""cover_stories""",3
42,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""female/male""","""are""",0.89,0.83,"""cover_stories""",4
42,"""1""","""polite""","""People in their 20&quotechars""",NA,NA,"""People in their 50&quotechars""",0,"""age""","""female/male""","""who""",0.65,0.76,"""cover_stories""",5
42,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",0,"""political_party""","""female/male""","""who""",0.72,0.75,"""cover_stories""",6
42,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.61,"""priors""",8
42,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.76,"""priors""",9
42,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.52,"""priors""",10
42,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.41,"""priors""",11
42,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.58,"""priors""",12
42,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.59,"""priors""",13
42,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.61,"""priors""",14
42,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.21,"""priors""",15
43,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""male/female""","""are""",0.7,0.18,"""cover_stories""",3
43,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",1,"""age""","""male/female""","""who""",0.5,1,"""cover_stories""",4
43,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""male/female""","""are""",0.34,0.9,"""cover_stories""",5
43,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""male/female""","""who""",0.13,1,"""cover_stories""",6
43,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.84,"""priors""",8
43,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.76,"""priors""",9
43,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.21,"""priors""",10
43,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.79,"""priors""",11
43,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.61,"""priors""",12
43,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.73,"""priors""",13
43,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.48,"""priors""",14
43,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.09,"""priors""",15
44,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""female/male""","""who""",0.5,0.74,"""cover_stories""",3
44,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""female/male""","""who""",0.49,0.77,"""cover_stories""",4
44,"""1""","""polite""","""People in their 20&quotechars""",NA,NA,"""People in their 50&quotechars""",0,"""age""","""female/male""","""are""",0.52,0.74,"""cover_stories""",5
44,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",0,"""political_party""","""male/female""","""are""",0.48,0.73,"""cover_stories""",6
44,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.67,"""priors""",8
44,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.72,"""priors""",9
44,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.54,"""priors""",10
44,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.31,"""priors""",11
44,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.75,"""priors""",12
44,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.73,"""priors""",13
44,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.62,"""priors""",14
44,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.75,"""priors""",15
45,"""1""","""polite""","""People in their 20&quotechars""",NA,NA,"""People in their 50&quotechars""",0,"""age""","""male/female""","""who""",0.77,0.57,"""cover_stories""",3
45,"""1""","""rational""","""women""",NA,NA,"""men""",0,"""gender""","""female/male""","""are""",0.5,0.5,"""cover_stories""",4
45,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""male/female""","""are""",0.35,0.27,"""cover_stories""",5
45,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""male/female""","""who""",0.51,0.49,"""cover_stories""",6
45,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.25,"""priors""",8
45,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.28,"""priors""",9
45,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.29,"""priors""",10
45,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.6,"""priors""",11
45,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.64,"""priors""",12
45,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.22,"""priors""",13
45,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.34,"""priors""",14
45,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.85,"""priors""",15
46,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",1,"""political_party""","""female/male""","""who""",0.5,0.98,"""cover_stories""",3
46,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""male/female""","""who""",0.5,0.99,"""cover_stories""",4
46,"""1""","""polite""","""People in their 20&quotechars""",NA,NA,"""People in their 50&quotechars""",1,"""age""","""female/male""","""are""",0.52,0.99,"""cover_stories""",5
46,"""1""","""rational""","""men""",NA,NA,"""women""",1,"""gender""","""female/male""","""are""",0.54,1,"""cover_stories""",6
46,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.84,"""priors""",8
46,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.85,"""priors""",9
46,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.87,"""priors""",10
46,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.81,"""priors""",11
46,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.71,"""priors""",12
46,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.88,"""priors""",13
46,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.86,"""priors""",14
46,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.53,"""priors""",15
47,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",1,"""political_party""","""male/female""","""who""",0.64,0.53,"""cover_stories""",3
47,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""female/male""","""are""",0.32,0.52,"""cover_stories""",4
47,"""1""","""rational""","""women""",NA,NA,"""men""",0,"""gender""","""male/female""","""who""",0.47,0.77,"""cover_stories""",5
47,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""male/female""","""are""",0.45,0.73,"""cover_stories""",6
47,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.67,"""priors""",8
47,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.55,"""priors""",9
47,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.76,"""priors""",10
47,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.47,"""priors""",11
47,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.81,"""priors""",12
47,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.66,"""priors""",13
47,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.77,"""priors""",14
47,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.54,"""priors""",15
48,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""male/female""","""are""",0.39,0.74,"""cover_stories""",3
48,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",0,"""political_party""","""male/female""","""who""",0.2,0.88,"""cover_stories""",4
48,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""male/female""","""are""",0.49,0.87,"""cover_stories""",5
48,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""female/male""","""who""",0.58,0.79,"""cover_stories""",6
48,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.64,"""priors""",8
48,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.5,"""priors""",9
48,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.35,"""priors""",10
48,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.44,"""priors""",11
48,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.18,"""priors""",12
48,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.37,"""priors""",13
48,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.6,"""priors""",14
48,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.49,"""priors""",15
49,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",2,"""political_party""","""male/female""","""are""",0.22,0.8,"""cover_stories""",3
49,"""1""","""polite""","""People in their 20&quotechars""",NA,NA,"""People in their 50&quotechars""",2,"""age""","""male/female""","""who""",0.42,0.85,"""cover_stories""",4
49,"""1""","""rational""","""men""",NA,NA,"""women""",1,"""gender""","""female/male""","""are""",0.47,0.8,"""cover_stories""",5
49,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",1,"""nationality""","""female/male""","""who""",0.49,0.82,"""cover_stories""",6
49,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.82,"""priors""",8
49,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.31,"""priors""",9
49,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.86,"""priors""",10
49,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.85,"""priors""",11
49,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.91,"""priors""",12
49,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.6,"""priors""",13
49,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.9,"""priors""",14
49,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.72,"""priors""",15
50,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""female/male""","""are""",0.55,0.78,"""cover_stories""",3
50,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",0,"""political_party""","""male/female""","""are""",0.6,0.6,"""cover_stories""",4
50,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""female/male""","""who""",0.54,0.69,"""cover_stories""",5
50,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""female/male""","""who""",0.5,0.52,"""cover_stories""",6
50,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.69,"""priors""",8
50,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.52,"""priors""",9
50,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.5,"""priors""",10
50,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.63,"""priors""",11
50,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.69,"""priors""",12
50,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.49,"""priors""",13
50,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.4,"""priors""",14
50,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.29,"""priors""",15
51,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""female/male""","""who""",0.42,1,"""cover_stories""",3
51,"""1""","""polite""","""People in their 20&quotechars""",NA,NA,"""People in their 50&quotechars""",0,"""age""","""female/male""","""who""",0.5,1,"""cover_stories""",4
51,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",1,"""nationality""","""female/male""","""are""",0.48,1,"""cover_stories""",5
51,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""female/male""","""are""",0.47,1,"""cover_stories""",6
51,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.52,"""priors""",8
51,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.48,"""priors""",9
51,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.45,"""priors""",10
51,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.52,"""priors""",11
51,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.5,"""priors""",12
51,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.48,"""priors""",13
51,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.53,"""priors""",14
51,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.5,"""priors""",15
52,"""1""","""rational""","""women""",NA,NA,"""men""",0,"""gender""","""male/female""","""who""",0.49,1,"""cover_stories""",3
52,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""female/male""","""who""",0.38,1,"""cover_stories""",4
52,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""male/female""","""are""",0.4,1,"""cover_stories""",5
52,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""female/male""","""are""",0.51,1,"""cover_stories""",6
52,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.75,"""priors""",8
52,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.52,"""priors""",9
52,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.77,"""priors""",10
52,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.5,"""priors""",11
52,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.66,"""priors""",12
52,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.45,"""priors""",13
52,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.59,"""priors""",14
52,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.71,"""priors""",15
53,"""1""","""polite""","""People in their 20&quotechars""",NA,NA,"""People in their 50&quotechars""",3,"""age""","""female/male""","""who""",1,1,"""cover_stories""",3
53,"""1""","""rational""","""women""",NA,NA,"""men""",0,"""gender""","""male/female""","""are""",0.81,0.6,"""cover_stories""",4
53,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",1,"""nationality""","""male/female""","""who""",0.86,0.75,"""cover_stories""",5
53,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",0,"""political_party""","""female/male""","""are""",0.91,0.89,"""cover_stories""",6
53,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.96,"""priors""",8
53,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.52,"""priors""",9
53,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.93,"""priors""",10
53,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.97,"""priors""",11
53,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.43,"""priors""",12
53,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.53,"""priors""",13
53,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.97,"""priors""",14
53,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.98,"""priors""",15
54,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""male/female""","""who""",0.49,0.76,"""cover_stories""",3
54,"""1""","""rational""","""women""",NA,NA,"""men""",1,"""gender""","""female/male""","""are""",0.51,0.79,"""cover_stories""",4
54,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",1,"""political_party""","""female/male""","""who""",0.47,0.8,"""cover_stories""",5
54,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""male/female""","""are""",0.5,0.69,"""cover_stories""",6
54,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.75,"""priors""",8
54,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.34,"""priors""",9
54,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.38,"""priors""",10
54,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.64,"""priors""",11
54,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.63,"""priors""",12
54,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.63,"""priors""",13
54,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.54,"""priors""",14
54,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.52,"""priors""",15
55,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",0,"""political_party""","""female/male""","""who""",0.49,0.84,"""cover_stories""",3
55,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""male/female""","""who""",0.49,0.82,"""cover_stories""",4
55,"""1""","""rational""","""women""",NA,NA,"""men""",0,"""gender""","""male/female""","""are""",0.5,0.78,"""cover_stories""",5
55,"""1""","""polite""","""People in their 20&quotechars""",NA,NA,"""People in their 50&quotechars""",0,"""age""","""male/female""","""are""",0.5,0.79,"""cover_stories""",6
55,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.96,"""priors""",8
55,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.87,"""priors""",9
55,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.65,"""priors""",10
55,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.42,"""priors""",11
55,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.5,"""priors""",12
55,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.88,"""priors""",13
55,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.9,"""priors""",14
55,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.91,"""priors""",15
56,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""male/female""","""are""",0.49,0.56,"""cover_stories""",3
56,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""female/male""","""are""",0.48,0.56,"""cover_stories""",4
56,"""1""","""rational""","""men""",NA,NA,"""women""",1,"""gender""","""male/female""","""who""",0.5,0.51,"""cover_stories""",5
56,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""male/female""","""who""",0.47,0.55,"""cover_stories""",6
56,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.46,"""priors""",8
56,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.47,"""priors""",9
56,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.48,"""priors""",10
56,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.48,"""priors""",11
56,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.51,"""priors""",12
56,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.49,"""priors""",13
56,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.49,"""priors""",14
56,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.48,"""priors""",15
57,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""male/female""","""are""",0.53,0.53,"""cover_stories""",3
57,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""female/male""","""who""",0.18,0.8,"""cover_stories""",4
57,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",1,"""age""","""male/female""","""are""",0.27,0.84,"""cover_stories""",5
57,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""male/female""","""who""",0.32,0.82,"""cover_stories""",6
57,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.27,"""priors""",8
57,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.67,"""priors""",9
57,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.62,"""priors""",10
57,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.9,"""priors""",11
57,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.8,"""priors""",12
57,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.59,"""priors""",13
57,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.45,"""priors""",14
57,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.71,"""priors""",15
58,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""male/female""","""are""",0.99,0.99,"""cover_stories""",3
58,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""female/male""","""are""",0.51,0.99,"""cover_stories""",4
58,"""1""","""smart""","""Americans""",NA,NA,"""Europeans""",0,"""nationality""","""female/male""","""who""",0.98,0.99,"""cover_stories""",5
58,"""1""","""polite""","""People in their 20&quotechars""",NA,NA,"""People in their 50&quotechars""",1,"""age""","""male/female""","""who""",0.97,0.99,"""cover_stories""",6
58,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.02,"""priors""",8
58,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.97,"""priors""",9
58,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.03,"""priors""",10
